hcp_id,territory_id,region,specialty,potential_score,current_calls_per_quarter,call_gap,priority_decile
HCP00440,T002,Midwest,Primary Care,61.0,5,-0.9,7
HCP00441,T010,Southwest,Primary Care,103.7,8,-1.1,8
HCP00442,T010,Southwest,Cardiology,133.8,5,3.9,9
HCP00443,T017,West,Oncology,168.9,7,4.3,10
HCP00444,T014,Southwest,Endocrinology,16.8,0,1.1,3
HCP00445,T011,Midwest,Endocrinology,97.5,6,0.5,8
HCP00446,T008,Midwest,Cardiology,107.4,11,-3.8,8
HCP00447,T009,West,Cardiology,81.8,6,-0.5,8
HCP00448,T011,Midwest,Endocrinology,92.9,3,3.2,7
HCP00449,T016,Southwest,Primary Care,7.3,0,0.5,1
HCP00450,T005,Southeast,Cardiology,4.7,0,0.3,1
HCP00451,T006,Midwest,Primary Care,50.4,1,2.4,7
HCP00452,T013,Southeast,Oncology,79.3,5,0.3,9
HCP00453,T012,West,Oncology,69.8,10,-5.3,7
HCP00454,T007,Midwest,Primary Care,56.8,3,0.8,5
HCP00455,T009,West,Endocrinology,67.6,4,0.5,8
HCP00456,T008,Midwest,Oncology,105.5,13,-6.0,8
HCP00457,T017,West,Primary Care,77.4,5,0.2,8
HCP00458,T001,West,Cardiology,43.0,4,-1.1,5
HCP00459,T004,West,Oncology,107.2,9,-1.9,9
HCP00460,T004,West,Primary Care,24.1,2,-0.4,2
HCP00461,T005,Southeast,Cardiology,9.0,0,0.6,1
HCP00462,T018,Northeast,Primary Care,32.8,1,1.2,4
HCP00463,T007,Midwest,Oncology,171.2,9,2.4,10
HCP00464,T015,Southeast,Oncology,39.1,6,-3.4,4
HCP00465,T012,West,Oncology,114.2,11,-3.4,9
HCP00466,T000,Southwest,Cardiology,124.7,14,-5.7,9
HCP00467,T019,Southwest,Oncology,140.3,9,0.4,9
HCP00468,T016,Southwest,Endocrinology,33.6,4,-1.8,3
HCP00469,T006,Midwest,Primary Care,22.2,1,0.5,2
HCP00470,T012,West,Endocrinology,60.0,6,-2.0,6
HCP00471,T003,West,Primary Care,50.8,2,1.4,5
HCP00472,T003,West,Cardiology,105.6,9,-2.0,8
HCP00473,T005,Southeast,Primary Care,66.5,0,4.4,6
HCP00474,T018,Northeast,Primary Care,202.5,12,1.5,10
HCP00475,T011,Midwest,Primary Care,109.6,8,-0.7,9
HCP00476,T006,Midwest,Cardiology,50.1,2,1.3,6
HCP00477,T009,West,Primary Care,153.2,9,1.2,10
HCP00478,T018,Northeast,Endocrinology,21.1,1,0.4,3
HCP00479,T006,Midwest,Primary Care,16.8,2,-0.9,1
HCP00480,T002,Midwest,Primary Care,72.4,7,-2.2,8
HCP00481,T012,West,Cardiology,54.3,2,1.6,5
HCP00482,T012,West,Endocrinology,153.9,7,3.3,10
HCP00483,T017,West,Primary Care,64.7,1,3.3,7
HCP00484,T019,Southwest,Cardiology,61.4,4,0.1,5
HCP00485,T007,Midwest,Oncology,72.0,4,0.8,7
HCP00486,T008,Midwest,Cardiology,55.9,5,-1.3,5
HCP00487,T006,Midwest,Primary Care,4.2,0,0.3,1
HCP00488,T000,Southwest,Primary Care,19.0,1,0.3,1
HCP00489,T002,Midwest,Oncology,47.2,1,2.1,6
HCP00490,T012,West,Primary Care,87.4,4,1.8,7
HCP00491,T016,Southwest,Oncology,51.3,4,-0.6,6
HCP00492,T000,Southwest,Cardiology,88.1,10,-4.1,7
HCP00493,T005,Southeast,Oncology,72.2,2,2.8,7
HCP00494,T005,Southeast,Endocrinology,26.8,1,0.8,3
HCP00495,T011,Midwest,Oncology,101.9,3,3.8,8
HCP00496,T012,West,Primary Care,41.1,2,0.7,3
HCP00497,T012,West,Endocrinology,121.7,6,2.1,9
HCP00498,T014,Southwest,Primary Care,30.1,3,-1.0,4
HCP00499,T015,Southeast,Cardiology,38.3,1,1.6,4
HCP00500,T010,Southwest,Cardiology,119.5,6,2.0,9
HCP00501,T004,West,Oncology,72.2,2,2.8,7
HCP00502,T003,West,Oncology,158.1,11,-0.5,10
HCP00503,T002,Midwest,Endocrinology,37.1,3,-0.5,5
HCP00504,T018,Northeast,Primary Care,46.5,1,2.1,5
HCP00505,T019,Southwest,Primary Care,24.8,6,-4.3,1
HCP00506,T017,West,Endocrinology,28.2,1,0.9,3
HCP00507,T014,Southwest,Primary Care,3.3,0,0.2,1
HCP00508,T008,Midwest,Primary Care,112.6,7,0.5,9
HCP00509,T016,Southwest,Primary Care,27.7,2,-0.2,2
HCP00510,T013,Southeast,Primary Care,60.5,3,1.0,8
HCP00511,T014,Southwest,Primary Care,36.5,0,2.4,5
HCP00512,T000,Southwest,Primary Care,92.3,5,1.2,7
HCP00513,T002,Midwest,Primary Care,7.0,0,0.5,1
HCP00514,T015,Southeast,Primary Care,48.7,3,0.2,5
HCP00515,T010,Southwest,Oncology,142.5,12,-2.5,10
HCP00516,T011,Midwest,Primary Care,43.6,3,-0.1,4
HCP00517,T009,West,Primary Care,22.0,0,1.5,2
HCP00518,T015,Southeast,Cardiology,11.8,2,-1.2,1
HCP00519,T007,Midwest,Primary Care,24.1,0,1.6,2
HCP00520,T005,Southeast,Oncology,10.1,0,0.7,2
HCP00521,T011,Midwest,Endocrinology,98.1,7,-0.5,8
HCP00522,T007,Midwest,Primary Care,58.8,3,0.9,6
HCP00523,T003,West,Primary Care,75.4,3,2.0,8
HCP00524,T007,Midwest,Oncology,36.0,2,0.4,3
HCP00525,T017,West,Oncology,30.8,2,0.1,4
HCP00526,T004,West,Cardiology,97.8,3,3.5,9
HCP00527,T008,Midwest,Cardiology,95.2,3,3.3,7
HCP00528,T003,West,Primary Care,6.2,0,0.4,1
HCP00529,T016,Southwest,Oncology,46.1,3,0.1,4
HCP00530,T008,Midwest,Primary Care,116.7,9,-1.2,9
HCP00531,T000,Southwest,Oncology,144.5,12,-2.4,9
HCP00532,T019,Southwest,Cardiology,54.4,4,-0.4,5
HCP00533,T012,West,Cardiology,21.6,4,-2.6,1
HCP00534,T015,Southeast,Cardiology,28.2,2,-0.1,4
HCP00535,T012,West,Primary Care,29.3,6,-4.0,2
HCP00536,T013,Southeast,Primary Care,10.7,0,0.7,2
HCP00537,T002,Midwest,Primary Care,94.4,8,-1.7,9
HCP00538,T005,Southeast,Primary Care,88.8,8,-2.1,8
HCP00539,T017,West,Endocrinology,19.5,2,-0.7,1
HCP00540,T018,Northeast,Primary Care,137.4,5,4.2,9
HCP00541,T004,West,Primary Care,28.5,0,1.9,3
HCP00542,T014,Southwest,Oncology,83.7,8,-2.4,9
HCP00543,T001,West,Oncology,56.2,5,-1.3,5
HCP00544,T009,West,Oncology,30.6,1,1.0,3
HCP00545,T017,West,Oncology,62.1,6,-1.9,7
HCP00546,T012,West,Primary Care,6.4,1,-0.6,1
HCP00547,T004,West,Primary Care,31.2,2,0.1,4
HCP00548,T000,Southwest,Endocrinology,54.2,3,0.6,5
HCP00549,T000,Southwest,Cardiology,79.2,3,2.3,6
HCP00550,T017,West,Primary Care,9.1,0,0.6,1
HCP00551,T014,Southwest,Endocrinology,13.7,2,-1.1,2
HCP00552,T016,Southwest,Primary Care,47.9,5,-1.8,5
HCP00553,T010,Southwest,Primary Care,14.0,0,0.9,1
HCP00554,T016,Southwest,Cardiology,56.0,3,0.7,6
HCP00555,T012,West,Cardiology,152.3,11,-0.8,10
HCP00556,T000,Southwest,Cardiology,20.4,0,1.4,2
HCP00557,T001,West,Primary Care,19.5,1,0.3,2
HCP00558,T008,Midwest,Oncology,162.1,12,-1.2,10
HCP00559,T002,Midwest,Primary Care,6.2,1,-0.6,1
HCP00560,T000,Southwest,Primary Care,35.4,3,-0.6,3
HCP00561,T015,Southeast,Oncology,103.6,5,1.9,9
HCP00562,T005,Southeast,Oncology,155.9,12,-1.6,9
HCP00563,T016,Southwest,Oncology,57.6,6,-2.2,6
HCP00564,T004,West,Endocrinology,17.6,1,0.2,2
HCP00565,T004,West,Cardiology,79.9,3,2.3,7
HCP00566,T005,Southeast,Cardiology,81.4,7,-1.6,8
HCP00567,T002,Midwest,Primary Care,128.8,6,2.6,10
HCP00568,T004,West,Primary Care,31.0,2,0.1,3
HCP00569,T004,West,Primary Care,51.4,2,1.4,5
HCP00570,T009,West,Primary Care,37.8,0,2.5,4
HCP00571,T009,West,Endocrinology,19.8,1,0.3,1
HCP00572,T018,Northeast,Cardiology,80.7,3,2.4,7
HCP00573,T016,Southwest,Primary Care,85.4,4,1.7,8
HCP00574,T013,Southeast,Primary Care,65.9,2,2.4,8
HCP00575,T008,Midwest,Cardiology,35.8,1,1.4,3
HCP00576,T013,Southeast,Primary Care,33.6,6,-3.8,5
HCP00577,T000,Southwest,Oncology,186.6,14,-1.6,10
HCP00578,T018,Northeast,Cardiology,50.7,3,0.4,6
HCP00579,T012,West,Cardiology,146.8,11,-1.2,10
HCP00580,T012,West,Cardiology,56.7,0,3.8,5
HCP00581,T003,West,Endocrinology,52.4,3,0.5,5
HCP00582,T000,Southwest,Primary Care,83.2,10,-4.5,6
HCP00583,T016,Southwest,Cardiology,227.4,10,5.2,10
HCP00584,T007,Midwest,Cardiology,55.0,5,-1.3,5
HCP00585,T001,West,Primary Care,29.8,2,-0.0,3
HCP00586,T007,Midwest,Oncology,43.8,1,1.9,4
HCP00587,T006,Midwest,Endocrinology,26.5,1,0.8,3
HCP00588,T001,West,Cardiology,37.2,2,0.5,3
HCP00589,T002,Midwest,Oncology,53.3,1,2.6,7
HCP00590,T017,West,Oncology,151.8,13,-2.9,10
HCP00591,T011,Midwest,Endocrinology,84.8,2,3.7,7
HCP00592,T000,Southwest,Endocrinology,97.0,8,-1.5,7
HCP00593,T011,Midwest,Cardiology,109.5,14,-6.7,9
HCP00594,T004,West,Cardiology,148.3,14,-4.1,10
HCP00595,T016,Southwest,Cardiology,34.4,3,-0.7,3
HCP00596,T015,Southeast,Endocrinology,68.4,2,2.6,8
HCP00597,T014,Southwest,Primary Care,8.0,0,0.5,1
HCP00598,T014,Southwest,Oncology,16.1,1,0.1,3
HCP00599,T004,West,Oncology,90.4,5,1.0,8
